勝敗,終了ターン数
先行,15
後攻,14
先行,13
先行,15
先行,11
後攻,14
先行,19
後攻,12
後攻,16
先行,11
先行,15
後攻,14
後攻,10
後攻,12
後攻,10
後攻,14
後攻,16
後攻,10
先行,13
後攻,14
先行,15
先行,13
後攻,14
後攻,12
後攻,14
先行,15
先行,11
後攻,12
後攻,16
後攻,10
後攻,16
後攻,12
後攻,12
後攻,10
先行,13
後攻,14
先行,13
後攻,12
先行,11
後攻,12
後攻,14
先行,15
後攻,12
後攻,10
後攻,14
後攻,12
後攻,14
後攻,12
先行,11
後攻,12
先行,13
後攻,12
後攻,12
後攻,12
後攻,12
先行,15
後攻,12
後攻,10
後攻,16
後攻,10
先行,15
後攻,12
後攻,12
後攻,16
先行,11
後攻,12
後攻,14
先行,11
先行,13
後攻,14
先行,13
先行,15
後攻,14
後攻,14
後攻,12
先行,15
後攻,10
先行,13
先行,13
先行,13
先行,15
後攻,12
先行,11
先行,11
先行,15
後攻,16
先行,11
後攻,14
後攻,12
先行,13
後攻,14
後攻,12
先行,15
後攻,14
先行,13
先行,11
先行,13
後攻,14
先行,15
後攻,16
先行,13
後攻,16
後攻,14
先行,15
先行,13
先行,17
先行,13
先行,13
後攻,16
後攻,14
後攻,16
後攻,14
先行,13
先行,15
後攻,12
先行,11
後攻,18
後攻,16
後攻,14
先行,9
先行,11
先行,15
先行,13
後攻,10
後攻,14
後攻,14
先行,11
先行,11
後攻,12
先行,13
後攻,16
先行,17
後攻,12
後攻,14
先行,13
先行,13
後攻,14
先行,13
後攻,12
先行,15
後攻,12
先行,11
後攻,12
後攻,12
後攻,12
後攻,12
後攻,12
後攻,12
後攻,16
後攻,12
先行,15
後攻,12
先行,17
後攻,14
後攻,14
後攻,10
後攻,12
先行,13
先行,13
先行,13
先行,15
後攻,10
後攻,10
後攻,18
先行,15
先行,13
後攻,14
先行,13
後攻,14
後攻,12
先行,11
先行,11
後攻,14
先行,11
後攻,12
後攻,16
後攻,12
後攻,18
後攻,12
先行,13
後攻,12
先行,13
先行,13
後攻,10
先行,15
先行,13
後攻,12
先行,11
先行,11
後攻,12
先行,13
後攻,14
先行,15
後攻,14
後攻,12
先行,15
先行,15
後攻,12
後攻,14
先行,15
後攻,14
後攻,16
先行,15
後攻,14
後攻,14
後攻,12
先行,13
後攻,10
先行,9
先行,15
先行,11
先行,11
先行,13
後攻,12
後攻,10
先行,15
後攻,14
後攻,12
後攻,16
先行,17
先行,13
先行,9
後攻,16
先行,13
後攻,12
後攻,12
先行,15
後攻,16
後攻,12
先行,17
先行,13
後攻,12
先行,13
先行,15
先行,11
先行,11
先行,13
後攻,14
先行,13
先行,13
後攻,10
後攻,12
先行,13
先行,13
先行,13
後攻,10
後攻,14
後攻,14
先行,11
先行,13
後攻,20
先行,11
先行,13
後攻,12
後攻,16
先行,11
先行,15
先行,15
後攻,12
先行,11
先行,13
先行,15
先行,11
先行,13
後攻,12
先行,13
後攻,14
後攻,14
後攻,14
後攻,16
先行,19
先行,13
先行,13
後攻,14
先行,11
先行,15
後攻,14
先行,13
後攻,14
後攻,12
後攻,16
後攻,12
先行,13
後攻,14
先行,13
後攻,14
後攻,16
後攻,16
先行,11
先行,15
先行,15
後攻,12
後攻,14
先行,11
後攻,12
先行,11
後攻,14
先行,13
後攻,14
先行,15
先行,17
後攻,16
先行,13
先行,15
後攻,14
後攻,12
先行,13
先行,11
後攻,12
後攻,10
先行,13
後攻,16
先行,11
先行,13
後攻,12
後攻,16
先行,15
先行,15
後攻,12
後攻,14
後攻,12
後攻,14
先行,11
先行,13
先行,13
先行,13
後攻,16
先行,9
後攻,14
後攻,12
先行,15
後攻,12
後攻,12
後攻,10
後攻,14
先行,13
先行,15
後攻,14
後攻,14
後攻,14
先行,13
後攻,14
後攻,14
先行,11
先行,15
後攻,16
後攻,14
後攻,12
先行,13
先行,11
後攻,14
後攻,16
先行,15
先行,13
後攻,16
後攻,12
先行,15
後攻,14
後攻,10
先行,11
先行,13
後攻,14
後攻,12
先行,11
後攻,10
後攻,12
後攻,12
後攻,12
後攻,12
後攻,14
先行,11
先行,13
後攻,14
後攻,12
先行,15
後攻,14
後攻,14
先行,13
後攻,10
後攻,12
後攻,12
先行,17
先行,15
先行,11
先行,15
先行,15
後攻,14
先行,13
先行,15
先行,11
先行,15
先行,11
先行,13
先行,11
後攻,12
後攻,12
後攻,14
後攻,12
後攻,16
先行,15
後攻,10
後攻,14
後攻,16
後攻,14
後攻,12
先行,11
先行,11
後攻,14
先行,13
先行,11
後攻,16
後攻,12
後攻,12
先行,13
先行,13
先行,13
後攻,12
後攻,14
後攻,12
先行,19
先行,11
先行,11
後攻,12
先行,11
先行,15
後攻,14
先行,15
先行,15
先行,15
後攻,16
後攻,14
先行,13
先行,13
先行,13
先行,15
後攻,12
先行,15
先行,17
後攻,16
先行,15
後攻,14
先行,13
後攻,12
後攻,16
後攻,14
先行,15
先行,13
後攻,16
後攻,18
後攻,12
先行,11
後攻,16
後攻,14
後攻,14
先行,9
後攻,14
後攻,12
後攻,10
先行,13
後攻,14
先行,13
後攻,16
先行,11
後攻,12
先行,13
後攻,14
後攻,12
先行,15
後攻,10
後攻,8
先行,13
後攻,12
先行,13
先行,13
後攻,16
先行,15
先行,13
後攻,12
先行,13
後攻,12
後攻,10
後攻,14
後攻,16
先行,11
後攻,14
後攻,12
後攻,16
後攻,14
先行,11
後攻,18
先行,13
先行,15
先行,13
先行,11
先行,11
後攻,14
後攻,16
後攻,14
後攻,10
先行,13
後攻,14
先行,15
先行,15
先行,13
後攻,14
先行,15
後攻,14
先行,13
後攻,14
後攻,10
先行,11
先行,11
後攻,12
先行,13
後攻,12
後攻,12
先行,15
後攻,12
先行,15
先行,15
後攻,14
先行,11
先行,13
後攻,14
後攻,10
後攻,14
後攻,18
先行,13
後攻,12
後攻,12
後攻,16
後攻,12
後攻,12
先行,11
後攻,12
後攻,14
先行,13
先行,11
後攻,14
先行,15
先行,11
先行,13
後攻,16
先行,15
先行,13
先行,11
先行,11
先行,11
後攻,12
後攻,12
後攻,14
後攻,18
先行,9
先行,15
後攻,12
後攻,16
先行,11
先行,11
後攻,16
後攻,10
先行,17
先行,15
先行,13
先行,15
後攻,12
先行,15
後攻,14
後攻,14
後攻,16
後攻,10
後攻,12
後攻,12
先行,15
後攻,10
後攻,14
後攻,12
後攻,14
先行,13
後攻,12
後攻,12
先行,13
後攻,14
先行,15
後攻,16
後攻,12
先行,11
後攻,14
先行,13
後攻,14
後攻,14
先行,15
先行,13
先行,17
後攻,14
後攻,16
後攻,14
先行,13
先行,11
後攻,12
先行,11
後攻,16
後攻,12
後攻,12
先行,11
先行,13
後攻,12
先行,13
後攻,14
後攻,14
先行,13
後攻,12
後攻,12
後攻,12
先行,11
先行,11
後攻,12
先行,13
先行,19
先行,11
先行,13
後攻,10
後攻,12
先行,11
後攻,10
後攻,14
後攻,10
後攻,14
先行,11
後攻,14
後攻,12
先行,13
後攻,18
先行,13
先行,13
後攻,12
先行,17
後攻,10
後攻,12
後攻,10
先行,13
後攻,14
後攻,14
先行,13
後攻,14
先行,15
後攻,16
後攻,10
後攻,12
後攻,12
先行,11
後攻,14
後攻,14
後攻,12
先行,17
後攻,16
先行,13
後攻,16
先行,17
先行,15
先行,13
先行,11
先行,15
先行,11
先行,13
後攻,16
後攻,12
後攻,14
後攻,16
後攻,16
先行,11
先行,15
後攻,12
先行,13
後攻,14
先行,17
先行,11
先行,13
後攻,14
後攻,14
後攻,14
後攻,12
後攻,12
後攻,16
後攻,14
先行,11
先行,11
先行,13
後攻,12
先行,11
後攻,16
先行,13
後攻,12
先行,13
後攻,14
後攻,12
後攻,12
後攻,10
後攻,10
先行,15
後攻,14
後攻,14
後攻,16
先行,11
後攻,12
先行,15
先行,15
後攻,12
後攻,14
後攻,14
先行,15
先行,13
先行,11
先行,15
先行,11
後攻,16
先行,13
先行,11
後攻,14
後攻,14
後攻,12
後攻,12
先行,11
先行,13
後攻,10
先行,13
先行,13
先行,11
後攻,14
後攻,14
先行,15
後攻,16
後攻,14
先行,13
先行,13
先行,11
後攻,14
後攻,18
後攻,14
後攻,16
先行,17
先行,9
先行,13
後攻,12
後攻,12
後攻,14
先行,11
先行,15
後攻,10
後攻,14
後攻,14
後攻,12
先行,9
先行,13
先行,13
先行,15
後攻,14
先行,15
先行,15
後攻,10
先行,13
先行,13
後攻,12
後攻,12
後攻,14
後攻,16
先行,13
先行,11
後攻,14
先行,13
先行,11
先行,11
後攻,14
後攻,12
後攻,12
後攻,12
先行,15
先行,15
先行,13
後攻,10
先行,15
後攻,14
後攻,12
後攻,16
先行,11
後攻,14
先行,13
先行,13
後攻,12
後攻,12
先行,13
後攻,14
先行,13
後攻,12
先行,15
後攻,14
後攻,12
後攻,16
後攻,12
後攻,14
先行,13
先行,15
先行,13
後攻,12
先行,15
後攻,14
後攻,12
先行,17
先行,15
先行,13
先行,11
後攻,14
後攻,14
先行,13
後攻,14
後攻,14
後攻,12
先行,13
先行,13
先行,11
先行,13
先行,11
先行,11
後攻,14
先行,9
後攻,12
先行,15
後攻,12
後攻,14
後攻,12
先行,11
先行,15
後攻,12
後攻,12
後攻,14
先行,13
後攻,12
先行,13
先行,9
先行,17
後攻,14
先行,11
先行,11
後攻,14
先行,11
後攻,14
後攻,14
後攻,16
後攻,12
先行,15
後攻,14
後攻,12
先行,15
先行,13
後攻,12
後攻,16
先行,9
先行,15
後攻,12
先行,13
先行,13
先行,13
後攻,16
後攻,12
先行,13
先行,15
先行,13
先行,19
後攻,14
後攻,18
後攻,14
後攻,14
後攻,12
後攻,14
後攻,14
先行,19
先行,15
先行,13
後攻,14
後攻,16
後攻,12
先行,15
先行,11
先行,13
後攻,12
後攻,12
先行,15
後攻,14
後攻,12
先行,15
後攻,12
後攻,14
後攻,12
後攻,12
後攻,14
後攻,12
先行,11
後攻,14
先行,15
後攻,12
後攻,12
後攻,12
後攻,14
後攻,18
後攻,12
後攻,12
後攻,12
先行,11
後攻,10
先行,11
後攻,12
先行,17
先行,13
後攻,14
先行,13
先行,15
後攻,14
先行,13
後攻,12
先行,15
先行,11
先行,13
先行,15
後攻,14
先行,13
後攻,14
後攻,12
先行,13
先行,11
先行,11
後攻,12
後攻,14
先行,17
先行,13
先行,15
後攻,12
先行,15
先行,15
先行,13
先行,11
後攻,12
後攻,14
先行,13
先行,17
先行,13
後攻,14
後攻,10
後攻,14
先行,11
後攻,12
先行,13
後攻,14
後攻,12
先行,11
後攻,12
後攻,16
先行,11
後攻,14
先行,13
後攻,12
後攻,12
後攻,14
先行,11
先行,13
後攻,10
先行,13
後攻,12
先行,15
後攻,14
後攻,14
先行,15
先行,13
先行,13
先行,17
先行,13
後攻,14
先行,15
先行,13
先行,17
後攻,12
先行,11
先行,13
後攻,14
先行,13
後攻,16
後攻,12
後攻,14
先行,17
先行,11
後攻,12
後攻,14
後攻,14
後攻,14
先行,15
後攻,14
後攻,14
先行,11
後攻,14
先行,13
後攻,14
後攻,12
先行,11
先行,13
後攻,12
後攻,14
先行,11
後攻,14
後攻,12
先行,13
後攻,12
先行,11
先行,11
先行,13
先行,13
後攻,10
後攻,10
後攻,14
先行,13
後攻,12
後攻,14
先行,13
後攻,14
後攻,14
後攻,14
先行,15
先行,11
先行,15
後攻,14
先行,15
先行,11
先行,9
後攻,12
後攻,16
先行,13
先行,13
先行,15
後攻,14
後攻,14
後攻,12
先行,13
先行,13
先行,13
後攻,14
先行,13
後攻,12
後攻,16
後攻,14
後攻,12
後攻,12
先行,11
後攻,12
後攻,12
後攻,12
先行,11
先行,11
先行,11
後攻,14
先行,11
先行,13
後攻,12
後攻,14
先行,15
後攻,14
先行,11
先行,15
先行,13
後攻,14
後攻,12
先行,11
先行,11
先行,15
先行,15
先行,15
先行,17
先行,15
後攻,14
後攻,14
後攻,10
後攻,12
後攻,14
先行,13
先行,15
先行,15
先行,13
先行,13
先行,11
後攻,12
先行,11
先行,13
後攻,10
先行,13
先行,15
先行,15
後攻,14
後攻,14
後攻,10
先行,13
後攻,12
後攻,10
後攻,10
後攻,12
後攻,20
後攻,14
先行,11
先行,13
先行,15
先行,11
後攻,12
後攻,12
後攻,14
後攻,14
後攻,10
後攻,14
先行,11
後攻,14
先行,15
先行,11
後攻,12
先行,13
後攻,12
後攻,10
先行,15
先行,15
後攻,14
後攻,10
後攻,12
先行,9
後攻,12
後攻,12
先行,17
先行,11
後攻,12
後攻,12
先行,11
先行,11
先行,11
後攻,12
後攻,10
後攻,12
先行,11
先行,13
後攻,12
先行,13
後攻,14
先行,11
先行,17
後攻,12
後攻,14
後攻,10
先行,15
後攻,12
先行,13
後攻,12
後攻,12
後攻,14
後攻,14
後攻,10
先行,9
後攻,10
先行,15
先行,11
先行,13
先行,11
後攻,12
先行,13
後攻,12
先行,9
後攻,10
後攻,14
後攻,14
先行,11
先行,17
後攻,14
先行,11
先行,15
後攻,12
先行,13
先行,15
先行,15
先行,13
後攻,14
先行,13
後攻,14
後攻,12
先行,11
後攻,12
後攻,14
先行,17
先行,11
先行,21
後攻,12
後攻,16
後攻,12
先行,13
先行,11
先行,13
先行,15
後攻,16
先行,11
先行,13
後攻,10
先行,15
後攻,12
後攻,16
先行,17
後攻,10
後攻,14
後攻,12
先行,15
後攻,14
後攻,16
後攻,12
先行,13
先行,13
先行,11
後攻,10
先行,15
先行,13
後攻,14
後攻,14
後攻,12
先行,13
先行,15
後攻,12
先行,11
先行,11
先行,13
後攻,18
後攻,14
先行,13
後攻,12
先行,15
先行,13
後攻,12
後攻,14
後攻,14
後攻,14
後攻,10
先行,13
先行,13
先行,9
先行,13
先行,13
先行,15
先行,13
先行,13
先行,13
後攻,14
後攻,12
先行,13
先行,11
後攻,16
先行,11
後攻,14
先行,11
後攻,12
先行,15
後攻,12
先行,13
先行,13
先行,15
先行,15
後攻,16
先行,13
先行,11
後攻,12
後攻,12
後攻,12
後攻,16
後攻,14
先行,11
後攻,14
後攻,14
後攻,14
先行,13
先行,11
先行,13
後攻,14
先行,11
後攻,14
後攻,12
後攻,14
後攻,14
後攻,14
先行,11
後攻,14
先行,15
先行,15
後攻,10
後攻,10
先行,13
後攻,12
後攻,14
先行,13
後攻,12
後攻,12
後攻,14
先行,13
後攻,16
先行,15
後攻,14
先行,15
後攻,14
後攻,12
後攻,14
後攻,14
先行,13
後攻,16
先行,13
後攻,12
後攻,12
先行,11
後攻,14
先行,11
先行,15
先行,13
後攻,12
先行,15
後攻,14
後攻,14
先行,15
先行,13
後攻,12
先行,15
後攻,14
後攻,16
先行,15
先行,15
後攻,14
後攻,12
後攻,14
先行,13
先行,11
後攻,12
後攻,10
先行,15
後攻,12
先行,11
先行,15
後攻,14
後攻,12
後攻,10
後攻,12
後攻,12
先行,11
後攻,12
先行,17
先行,13
先行,11
先行,11
先行,13
先行,13
後攻,12
先行,15
後攻,12
先行,11
先行,13
後攻,14
先行,11
後攻,12
先行,13
先行,13
後攻,12
先行,13
先行,13
後攻,12
先行,15
先行,15
先行,11
後攻,16
後攻,12
先行,15
先行,13
後攻,16
先行,11
先行,13
先行,17
後攻,14
先行,13
後攻,14
先行,13
後攻,14
先行,15
後攻,10
後攻,12
後攻,14
先行,13
後攻,14
後攻,18
後攻,14
後攻,12
先行,15
後攻,16
先行,15
後攻,16
先行,11
先行,13
後攻,16
後攻,12
後攻,12
先行,13
後攻,14
先行,17
後攻,12
先行,13
後攻,12
後攻,10
先行,15
先行,13
後攻,14
先行,15
後攻,12
後攻,16
先行,13
後攻,12
後攻,12
先行,11
後攻,12
先行,15
先行,13
後攻,12
後攻,14
先行,13
先行,15
後攻,12
後攻,12
先行,15
後攻,14
後攻,14
先行,17
後攻,14
先行,11
後攻,16
後攻,12
後攻,16
後攻,16
後攻,14
後攻,12
後攻,12
後攻,12
先行,13
先行,11
後攻,12
先行,15
後攻,12
後攻,12
先行,13
後攻,10
先行,17
後攻,12
後攻,14
後攻,12
先行,13
後攻,16
後攻,12
後攻,14
先行,13
後攻,14
先行,11
後攻,12
先行,13
後攻,12
先行,13
後攻,12
後攻,16
後攻,14
後攻,14
後攻,14
先行,15
後攻,16
後攻,14
先行,15
後攻,12
後攻,10
後攻,14
先行,11
後攻,12
後攻,16
先行,13
後攻,14
先行,17
後攻,14
後攻,8
後攻,12
先行,13
後攻,14
後攻,12
先行,15
先行,15
先行,11
後攻,12
後攻,14
先行,17
後攻,14
後攻,12
後攻,14
後攻,16
後攻,12
先行,15
後攻,12
後攻,14
後攻,16
先行,15
先行,13
後攻,16
先行,13
先行,17
後攻,8
後攻,14
後攻,12
後攻,18
後攻,12
先行,13
先行,17
後攻,14
先行,13
先行,13
先行,13
先行,11
後攻,14
後攻,14
後攻,14
先行,11
後攻,12
先行,13
先行,13
先行,11
後攻,14
後攻,12
先行,15
後攻,14
後攻,12
先行,15
先行,13
先行,11
先行,11
後攻,14
後攻,12
後攻,12
後攻,12
後攻,14
後攻,12
後攻,10
先行,9
後攻,14
後攻,16
後攻,12
後攻,18
後攻,20
先行,13
先行,13
後攻,12
後攻,16
先行,13
後攻,14
先行,13
後攻,12
先行,15
先行,13
後攻,10
後攻,12
先行,11
後攻,12
後攻,16
先行,11
先行,13
先行,15
先行,11
先行,13
先行,13
先行,13
後攻,10
先行,13
先行,13
先行,9
先行,13
後攻,12
先行,11
先行,19
後攻,16
後攻,16
後攻,14
先行,13
先行,11
先行,11
後攻,12
後攻,14
先行,13
後攻,14
後攻,14
後攻,12
先行,11
後攻,12
先行,11
後攻,14
先行,15
後攻,12
先行,13
先行,15
後攻,12
後攻,14
後攻,12
先行,15
後攻,12
先行,15
後攻,14
後攻,12
先行,13
先行,15
先行,13
先行,15
先行,13
後攻,12
後攻,12
後攻,16
先行,15
先行,13
後攻,16
後攻,16
先行,13
先行,11
後攻,14
先行,11
先行,15
先行,13
後攻,14
後攻,14
後攻,12
先行,13
先行,13
後攻,14
先行,13
後攻,14
後攻,18
先行,13
先行,15
先行,13
後攻,14
先行,13
後攻,10
後攻,14
先行,15
後攻,16
後攻,10
先行,13
先行,13
先行,11
先行,13
先行,15
先行,13
後攻,14
後攻,12
後攻,14
先行,11
後攻,14
後攻,12
先行,13
後攻,12
先行,13
後攻,12
後攻,14
後攻,12
後攻,14
後攻,14
先行,13
後攻,14
後攻,14
先行,15
後攻,12
先行,11
先行,13
先行,13
先行,11
先行,11
後攻,10
後攻,12
先行,13
後攻,16
後攻,14
先行,15
後攻,16
後攻,14
後攻,12
先行,15
後攻,16
後攻,12
後攻,14
後攻,14
後攻,16
先行,11
後攻,12
後攻,14
先行,13
後攻,14
後攻,12
後攻,12
後攻,12
先行,13
先行,9
後攻,10
先行,11
後攻,14
後攻,10
後攻,12
先行,11
先行,13
後攻,12
先行,13
後攻,14
後攻,10
先行,9
先行,15
先行,13
先行,13
後攻,14
後攻,14
後攻,14
先行,17
先行,9
先行,13
先行,15
先行,13
後攻,14
後攻,16
先行,15
後攻,14
後攻,14
先行,11
後攻,12
後攻,14
後攻,14
先行,11
先行,13
後攻,10
先行,11
後攻,16
後攻,14
先行,15
後攻,10
先行,11
後攻,10
先行,13
先行,13
先行,11
先行,15
先行,13
後攻,12
先行,13
先行,15
後攻,12
後攻,12
先行,11
後攻,12
先行,15
後攻,16
先行,15
先行,15
後攻,16
先行,13
先行,13
先行,11
後攻,14
後攻,12
後攻,10
先行,13
後攻,16
後攻,14
後攻,12
先行,13
後攻,12
先行,13
後攻,10
後攻,16
後攻,14
先行,13
後攻,14
後攻,12
先行,13
先行,15
後攻,12
先行,9
先行,15
先行,15
先行,13
後攻,12
後攻,14
後攻,14
後攻,12
先行,13
先行,11
先行,15
先行,13
先行,13
後攻,16
先行,13
後攻,12
後攻,12
先行,13
後攻,12
先行,13
先行,13
後攻,12
後攻,12
後攻,12
先行,13
後攻,12
後攻,10
後攻,14
後攻,16
先行,13
後攻,14
後攻,10
後攻,14
後攻,16
後攻,16
後攻,14
後攻,12
後攻,14
先行,15
先行,13
先行,13
後攻,14
後攻,14
先行,17
後攻,14
先行,15
後攻,12
先行,13
先行,13
先行,13
後攻,12
後攻,14
先行,11
後攻,12
後攻,10
後攻,14
後攻,16
先行,15
先行,13
先行,15
後攻,20
先行,13
先行,13
後攻,14
先行,15
後攻,14
先行,13
先行,15
後攻,12
後攻,14
後攻,14
後攻,16
後攻,12
先行,11
先行,11
先行,11
後攻,14
先行,13
先行,13
先行,13
後攻,14
後攻,14
後攻,12
後攻,12
後攻,16
先行,13
先行,11
後攻,14
後攻,10
後攻,12
先行,11
先行,11
先行,15
先行,13
先行,17
後攻,14
後攻,14
後攻,16
後攻,16
後攻,12
後攻,14
先行,11
後攻,16
先行,13
先行,13
先行,13
先行,13
後攻,14
後攻,14
先行,15
後攻,18
後攻,12
先行,13
後攻,18
後攻,14
後攻,16
先行,9
後攻,16
先行,11
後攻,14
先行,13
先行,11
先行,13
後攻,16
先行,11
先行,9
先行,13
後攻,14
後攻,12
先行,11
後攻,12
先行,13
後攻,12
先行,15
先行,15
後攻,12
先行,11
先行,11
先行,17
後攻,12
後攻,14
先行,13
先行,9
後攻,12
先行,13
後攻,12
後攻,12
先行,17
後攻,12
後攻,14
先行,13
後攻,16
後攻,10
先行,11
後攻,12
後攻,12
後攻,14
先行,15
後攻,12
後攻,12
先行,13
先行,13
後攻,14
後攻,14
先行,13
先行,15
先行,11
先行,13
先行,13
先行,11
先行,13
後攻,14
先行,11
先行,13
先行,15
先行,15
先行,13
後攻,10
先行,15
先行,11
先行,13
後攻,10
先行,15
先行,15
後攻,12
先行,15
後攻,14
先行,11
先行,11
先行,15
後攻,10
先行,15
後攻,10
後攻,12
後攻,10
先行,11
先行,13
先行,11
後攻,14
先行,11
後攻,12
先行,11
後攻,10
後攻,12
先行,19
後攻,12
先行,15
先行,11
先行,15
先行,13
先行,15
先行,13
後攻,16
先行,13
後攻,12
先行,13
後攻,16
後攻,16
後攻,12
先行,11
先行,19
先行,15
先行,15
後攻,12
後攻,10
後攻,14
先行,11
後攻,12
先行,15
後攻,14
先行,13
先行,13
先行,13
後攻,12
先行,13
後攻,14
後攻,16
後攻,12
先行,13
後攻,14
先行,11
後攻,14
後攻,14
後攻,10
先行,13
後攻,10
後攻,14
後攻,12
先行,11
後攻,12
後攻,16
先行,13
後攻,10
後攻,10
先行,17
後攻,16
後攻,16
先行,15
先行,13
後攻,14
先行,11
後攻,10
後攻,18
後攻,10
後攻,12
先行,15
後攻,12
先行,15
後攻,14
先行,17
後攻,14
先行,13
後攻,10
先行,13
先行,11
後攻,14
後攻,12
後攻,14
後攻,14
先行,15
後攻,14
先行,11
先行,11
後攻,16
後攻,12
後攻,12
先行,15
後攻,12
先行,13
後攻,14
先行,13
後攻,12
先行,11
先行,11
後攻,14
後攻,12
先行,15
先行,15
後攻,12
後攻,12
先行,11
先行,13
先行,15
先行,13
先行,15
後攻,14
後攻,12
先行,15
後攻,14
後攻,12
先行,15
先行,13
後攻,12
先行,11
後攻,12
先行,13
後攻,14
後攻,12
先行,11
先行,11
後攻,10
先行,9
先行,13
後攻,12
先行,11
先行,15
後攻,12
先行,13
後攻,12
先行,13
先行,13
先行,17
先行,15
後攻,14
後攻,16
先行,11
後攻,14
後攻,10
後攻,12
後攻,18
後攻,14
後攻,12
先行,15
先行,11
後攻,12
後攻,14
先行,15
後攻,12
後攻,14
先行,15
先行,15
先行,13
後攻,12
先行,15
後攻,14
先行,11
後攻,14
後攻,16
後攻,16
後攻,14
後攻,14
先行,13
後攻,16
後攻,12
先行,13
後攻,10
後攻,14
後攻,12
後攻,12
後攻,14
先行,15
先行,13
後攻,12
先行,11
後攻,12
先行,11
先行,13
先行,15
先行,11
先行,13
先行,15
先行,13
先行,11
先行,11
後攻,12
先行,13
先行,13
先行,13
後攻,12
先行,13
後攻,12
後攻,14
先行,13
後攻,16
後攻,16
後攻,10
後攻,12
後攻,14
後攻,10
後攻,10
後攻,12
先行,13
後攻,10
先行,11
先行,13
先行,11
後攻,10
後攻,14
先行,13
後攻,10
後攻,16
先行,15
先行,15
後攻,12
後攻,12
後攻,10
先行,11
後攻,14
先行,13
先行,11
後攻,14
先行,15
先行,15
後攻,14
先行,13
先行,11
先行,13
先行,17
後攻,12
後攻,14
後攻,16
後攻,12
後攻,12
先行,15
先行,13
後攻,14
先行,15
先行,11
後攻,12
先行,15
後攻,16
後攻,14
先行,13
先行,15
後攻,14
先行,17
先行,15
後攻,12
後攻,18
先行,13
後攻,12
先行,13
後攻,14
後攻,12
後攻,14
後攻,12
先行,11
先行,13
後攻,10
先行,11
後攻,12
後攻,14
先行,13
後攻,10
後攻,12
後攻,12
先行,13
先行,11
先行,13
先行,11
後攻,16
先行,13
後攻,16
後攻,12
先行,13
後攻,16
先行,15
後攻,14
先行,11
先行,13
後攻,12
先行,11
後攻,10
後攻,10
先行,13
後攻,14
後攻,18
後攻,14
後攻,12
後攻,16
後攻,12
先行,15
先行,13
先行,11
先行,13
先行,15
後攻,12
先行,11
後攻,14
先行,15
先行,11
先行,11
後攻,16
後攻,12
後攻,12
後攻,14
先行,17
先行,15
先行,11
後攻,14
後攻,12
後攻,12
先行,11
先行,11
後攻,14
先行,13
後攻,16
後攻,14
後攻,12
先行,13
先行,11
後攻,14
後攻,14
先行,11
先行,15
先行,13
後攻,12
後攻,12
先行,15
後攻,12
後攻,12
後攻,12
後攻,14
先行,13
後攻,12
後攻,12
後攻,12
先行,11
先行,13
後攻,12
先行,13
後攻,14
先行,13
先行,11
先行,17
後攻,10
後攻,14
後攻,12
後攻,14
先行,15
後攻,12
後攻,14
先行,15
後攻,12
後攻,10
後攻,10
先行,13
先行,11
後攻,12
先行,15
後攻,14
先行,13
後攻,14
後攻,12
後攻,14
先行,13
後攻,12
後攻,12
先行,13
先行,11
先行,11
先行,17
後攻,16
後攻,16
先行,15
先行,15
後攻,14
後攻,12
後攻,16
先行,11
先行,13
後攻,12
先行,15
先行,11
後攻,12
先行,11
先行,13
先行,11
先行,11
後攻,12
後攻,12
先行,11
後攻,10
後攻,12
先行,11
後攻,12
先行,19
先行,13
先行,15
後攻,16
先行,13
後攻,12
先行,15
先行,11
後攻,14
後攻,12
先行,13
後攻,10
先行,11
後攻,14
先行,15
後攻,12
後攻,12
後攻,14
後攻,16
先行,15
先行,13
後攻,16
後攻,12
後攻,12
後攻,16
先行,15
先行,13
先行,13
先行,17
先行,13
後攻,12
後攻,14
先行,19
先行,13
先行,13
後攻,14
先行,15
後攻,10
先行,15
後攻,14
先行,11
後攻,12
後攻,12
後攻,14
後攻,10
先行,11
先行,11
後攻,16
先行,13
後攻,20
先行,15
後攻,12
後攻,12
先行,13
後攻,14
先行,13
後攻,12
後攻,12
後攻,12
後攻,12
後攻,14
先行,11
先行,15
先行,11
先行,11
後攻,12
先行,9
後攻,10
後攻,14
後攻,12
後攻,14
後攻,14
後攻,14
後攻,14
後攻,12
先行,13
先行,15
後攻,12
後攻,14
後攻,14
後攻,12
先行,17
先行,13
後攻,10
後攻,12
先行,15
後攻,12
先行,15
先行,13
後攻,14
後攻,16
後攻,14
後攻,12
後攻,14
先行,13
先行,15
後攻,12
後攻,12
後攻,12
後攻,14
後攻,14
後攻,12
後攻,12
先行,13
先行,17
先行,13
先行,13
後攻,14
先行,13
先行,11
先行,13
先行,13
後攻,12
後攻,18
後攻,14
先行,13
先行,15
後攻,16
先行,15
後攻,12
後攻,12
先行,11
後攻,12
先行,11
後攻,12
先行,13
後攻,12
後攻,14
後攻,16
先行,15
後攻,12
先行,11
後攻,14
後攻,20
先行,15
先行,13
後攻,12
後攻,14
後攻,14
先行,13
後攻,14
先行,13
後攻,14
先行,13
先行,13
後攻,12
後攻,10
後攻,10
先行,11
先行,11
後攻,14
後攻,12
後攻,16
後攻,12
